Category,Instrument,Current_Price,Annual_Return,Annual_Volatility,Sharpe_Ratio,Max_Drawdown,Market_Cap,Beta,Sector
CEDEARS,GOOGL.BA,3915.0,79.8744845437734,44.04108717205311,1.8136356223844283,33.33333179553168,2492978065047552.0,1.034,Communication Services
CEDEARS,AMZN.BA,1860.0,83.96442790869291,45.90778541318789,1.8289801425396688,37.52433682199162,2537765447139328.0,1.146,Consumer Cyclical
CEDEARS,TSLA.BA,31400.0,91.5296509349426,66.06591757425532,1.385429193987461,60.63004717358279,1348243787087872.0,2.295,Consumer Cyclical
CEDEARS,MELI.BA,17600.0,76.27218198226944,65.63031495528386,1.1621486508823893,68.52254280777086,95676595699712.0,1.612,Consumer Cyclical
ACCIONES_ARG,GGAL.BA,7960.0,147.91811343530847,53.73120827548482,2.752927361635323,34.608267723028305,12644538908672.0,1.591,Financial Services
ACCIONES_ARG,PAMP.BA,3885.0,119.55382807363479,50.867143048468336,2.3503153687974754,37.35012597484622,5282201600000.0,0.579,Utilities
ACCIONES_ARG,BBAR.BA,8600.0,151.95493206582043,61.5120610155343,2.4703274375320574,36.347821187341964,5269306212352.0,1.332,Financial Services
ACCIONES_ARG,TXAR.BA,794.0,85.39726963922388,57.577631496005225,1.4831674631345126,38.269986893840105,3586569273344.0,0.407,Basic Materials
ETFs,QQQ,514.8200073242188,16.24737301631788,23.554238104747178,0.689785547045283,29.5617533285313,,,
ETFs,EEM,42.150001525878906,0.3214032501153774,18.532835574639787,0.017342367756997937,31.288477826521756,,,
ETFs,GLD,253.2100067138672,15.027843478080168,14.563090900972849,1.0319130451267233,21.03284420378336,,,
ETFs,SLV,27.530000686645508,13.634309433648248,28.60564406944161,0.47663004547460247,33.00614049225351,,,
